2.101,-2.861,2.134
1.951,-2.895,2.154
2.094,-2.861,2.133
2.224,-2.842,1.900
2.324,-2.829,2.038
1.933,-2.896,2.125
1.928,-2.890,2.218
1.859,-2.934,2.290
1.714,-2.975,2.248
1.606,-3.054,2.232
1.692,-3.046,2.076
1.712,-3.054,2.184
1.330,-3.210,2.315
1.134,-3.471,2.006
1.480,-3.194,1.836
1.332,-3.284,1.926
1.215,-3.463,1.751
1.146,-3.557,1.919
1.286,-3.432,1.858
1.479,-3.348,1.823
1.390,-3.190,2.049
1.312,-3.220,2.259
1.440,-3.188,2.078
1.243,-3.377,2.129
1.394,-3.351,1.917
1.733,-3.169,1.849
1.396,-3.264,1.940
1.209,-3.401,1.828
0.817,-3.735,1.686
1.284,-3.581,1.323
1.126,-3.595,1.415
0.921,-3.772,1.681
1.114,-3.616,1.510
1.377,-3.581,1.032
1.289,-3.639,1.275
1.336,-3.351,1.796
1.206,-3.408,2.092
1.832,-3.129,1.968
1.487,-3.429,1.702
1.353,-3.500,1.633
1.459,-3.452,1.590
1.377,-3.466,1.634
1.331,-3.485,1.598
1.376,-3.473,1.520
1.380,-3.467,1.639
1.619,-3.406,1.442
1.536,-3.459,1.506
1.438,-3.482,1.595
1.497,-3.443,1.526
1.513,-3.434,1.598
1.549,-3.440,1.505
1.475,-3.441,1.578
1.422,-3.468,1.647
1.530,-3.449,1.532
1.563,-3.438,1.510
1.599,-3.442,1.483
1.418,-3.480,1.605
1.430,-3.480,1.540
1.406,-3.482,1.542
1.398,-3.479,1.590
-,-,-
2.708,-2.746,1.473
2.703,-2.732,1.406
2.597,-2.759,1.609
2.518,-2.761,1.728
2.708,-2.720,1.477
2.846,-2.693,1.211
2.818,-2.720,1.307
2.693,-2.765,1.470
2.521,-2.801,1.718
2.469,-2.827,1.783
2.382,-2.951,1.796
2.229,-2.979,1.814
2.235,-2.987,1.605
2.132,-2.973,1.571
1.957,-3.013,1.871
1.832,-3.178,1.767
1.782,-3.226,1.665
1.412,-3.383,1.951
1.540,-3.386,1.569
1.362,-3.611,1.845
1.588,-3.459,1.415
1.633,-3.294,1.761
1.579,-3.354,1.772
1.556,-3.293,1.708
1.610,-3.405,1.670
1.743,-3.254,1.660
1.638,-3.303,1.723
1.742,-3.308,1.913
1.695,-3.329,1.703
1.519,-3.271,1.966
1.159,-3.656,1.890
1.456,-3.608,1.130
1.309,-3.571,1.378
1.347,-3.532,1.513
1.367,-3.546,1.295
1.169,-3.692,1.173
1.221,-3.645,1.244
1.418,-3.668,0.934
1.470,-3.547,1.053
0.994,-3.759,1.340
1.247,-3.601,1.363
1.174,-3.590,1.480
1.541,-3.444,1.436
1.562,-3.446,1.437
1.453,-3.562,1.334
1.497,-3.474,1.399
1.443,-3.542,1.352
1.535,-3.499,1.348
1.500,-3.496,1.364
1.558,-3.522,1.148
1.471,-3.546,1.301
1.495,-3.532,1.367
1.438,-3.563,1.392
1.534,-3.528,1.212
1.359,-3.595,1.368
1.365,-3.590,1.296
1.469,-3.536,1.293
1.469,-3.538,1.375
1.401,-3.531,1.418
1.392,-3.560,1.327
1.437,-3.559,1.378
1.533,-3.529,1.263
1.486,-3.514,1.396
1.351,-3.571,1.328
1.416,-3.548,1.352
1.404,-3.551,1.341
1.364,-3.565,1.312
1.405,-3.544,1.359
1.338,-3.594,1.359
1.369,-3.582,1.339
1.427,-3.551,1.361
-,-,-
2.223,-3.013,1.630
2.306,-2.992,1.613
2.198,-3.011,1.682
2.095,-3.041,1.797
2.138,-3.022,1.697
2.128,-2.994,1.820
2.051,-3.020,1.802
2.110,-3.020,1.798
2.036,-3.028,1.855
1.937,-3.064,2.019
1.940,-3.050,1.956
2.246,-2.993,1.684
2.249,-3.033,1.642
2.004,-3.104,1.872
1.986,-3.075,1.918
1.692,-3.136,1.812
1.429,-3.224,1.895
1.556,-3.227,2.066
1.406,-3.359,1.842
1.043,-3.601,1.579
1.245,-3.375,1.865
1.373,-3.454,1.657
1.304,-3.451,1.790
1.295,-3.571,1.447
0.904,-3.832,1.612
1.253,-3.475,1.424
1.569,-3.431,1.081
0.859,-3.692,1.966
1.477,-3.287,1.614
1.414,-3.383,1.801
1.330,-3.462,1.705
1.462,-3.410,1.692
1.276,-3.428,1.692
1.018,-3.538,1.932
1.018,-3.597,1.622
1.071,-3.929,0.783
1.370,-3.666,0.499
0.971,-3.749,1.242
0.943,-3.769,1.289
1.164,-3.729,1.053
1.100,-3.854,0.655
1.426,-3.694,0.552
1.065,-3.841,0.893
0.857,-3.845,1.013
1.021,-3.681,1.188
1.216,-3.662,1.203
1.264,-3.592,1.194
1.368,-3.605,1.105
1.337,-3.678,1.079
1.320,-3.635,1.139
1.238,-3.678,1.177
1.372,-3.641,1.077
1.422,-3.596,1.127
1.272,-3.648,1.274
1.382,-3.672,1.027
1.369,-3.650,0.961
1.341,-3.646,1.056
1.313,-3.646,1.154
1.460,-3.593,1.044
1.313,-3.646,1.164
1.144,-3.691,1.295
1.406,-3.625,1.077
1.409,-3.663,1.127
1.292,-3.639,1.191
1.211,-3.708,1.134
1.234,-3.685,1.125
1.334,-3.603,1.085
1.311,-3.664,1.079
1.289,-3.656,1.231
1.283,-3.679,1.143
1.240,-3.684,1.127
1.224,-3.671,1.206
-,-,-
2.358,-2.875,1.777
2.369,-2.879,1.736
2.258,-2.911,1.825
2.301,-2.899,1.781
2.338,-2.887,1.756
2.383,-2.864,1.752
2.467,-2.864,1.796
2.125,-3.018,1.770
2.207,-3.035,1.762
2.096,-2.968,1.973
1.950,-3.011,1.790
1.922,-3.133,1.903
1.677,-3.146,1.973
1.602,-3.209,1.855
1.658,-3.254,1.937
1.471,-3.323,1.820
1.573,-3.308,1.830
1.312,-3.367,1.854
1.228,-3.447,1.885
1.401,-3.411,1.723
1.510,-3.441,1.729
1.381,-3.380,1.754
1.330,-3.521,1.523
1.130,-3.621,1.377
1.058,-3.822,1.427
1.692,-3.412,1.113
1.222,-3.592,1.451
1.023,-3.600,1.820
1.295,-3.346,1.786
1.325,-3.461,1.809
1.376,-3.371,1.646
1.257,-3.547,1.755
1.296,-3.403,1.620
1.320,-3.399,1.884
1.214,-3.453,1.714
0.979,-3.585,1.227
0.442,-3.933,1.337
0.827,-3.813,0.751
0.890,-3.842,0.707
0.803,-3.868,0.899
0.895,-3.937,0.841
1.263,-3.759,0.489
0.619,-3.960,0.905
1.053,-3.715,0.891
0.430,-3.932,1.357
0.942,-3.732,1.093
1.447,-3.499,1.327
1.300,-3.579,1.292
1.037,-3.711,1.248
1.104,-3.748,1.081
1.257,-3.667,1.149
1.274,-3.662,0.953
1.257,-3.681,1.104
1.212,-3.694,1.069
1.261,-3.675,1.023
1.209,-3.688,1.121
1.150,-3.719,1.015
1.240,-3.701,1.122
1.233,-3.666,1.091
1.199,-3.695,1.136
1.096,-3.707,1.208
1.132,-3.719,1.155
1.234,-3.674,1.062
1.241,-3.677,1.216
1.258,-3.668,1.215
1.138,-3.693,1.129
1.125,-3.702,1.104
1.072,-3.711,1.170
1.231,-3.657,1.148
1.175,-3.696,1.104
-,-,-
2.386,-2.881,1.638
2.408,-2.895,1.638
2.451,-2.882,1.620
2.434,-2.882,1.618
2.507,-2.855,1.536
2.357,-2.896,1.695
2.413,-2.856,1.833
2.460,-2.887,1.534
2.336,-2.911,1.648
2.025,-2.992,1.959
2.169,-2.984,1.827
2.184,-3.050,1.799
2.045,-3.021,1.930
2.122,-3.021,1.745
1.902,-3.100,1.965
1.971,-2.987,1.838
1.689,-3.189,1.850
1.432,-3.234,1.871
1.387,-3.374,1.982
1.181,-3.315,1.973
1.165,-3.491,1.635
1.365,-3.488,1.437
1.132,-3.531,1.833
1.088,-3.530,1.603
1.164,-3.671,1.140
0.782,-4.039,1.197
1.257,-3.561,1.178
1.016,-3.576,1.505
1.057,-3.609,1.672
1.144,-3.508,1.690
1.225,-3.500,1.695
1.304,-3.488,1.599
1.466,-3.437,1.689
1.209,-3.470,1.696
1.280,-3.360,1.934
0.583,-3.887,1.262
1.041,-3.661,0.871
0.585,-3.976,0.675
0.798,-3.841,0.754
0.900,-3.797,0.798
0.868,-3.839,0.767
1.067,-3.822,0.482
0.834,-3.957,0.544
1.146,-3.871,0.396
0.756,-3.941,0.624
0.680,-3.964,0.843
0.711,-3.851,1.019
1.199,-3.646,1.026
1.366,-3.657,0.867
1.401,-3.553,1.174
1.160,-3.714,1.229
1.200,-3.636,1.276
1.196,-3.738,0.913
1.237,-3.726,0.793
1.471,-3.650,0.880
1.387,-3.723,0.928
1.398,-3.610,1.017
1.323,-3.696,0.856
1.177,-3.747,1.021
1.408,-3.642,0.955
1.196,-3.710,1.029
1.290,-3.663,1.104
1.379,-3.670,0.889
1.241,-3.721,0.959
1.321,-3.682,1.079
1.204,-3.727,1.027
1.330,-3.649,0.960
1.328,-3.688,0.972
1.307,-3.700,1.009
1.330,-3.674,0.958
1.276,-3.677,0.993
1.213,-3.720,1.043
1.344,-3.678,0.989
1.274,-3.677,1.018
-,-,-
2.210,-2.811,2.052
2.238,-2.877,1.909
2.261,-2.856,1.820
2.158,-2.852,2.125
2.161,-2.833,2.054
2.201,-2.883,1.867
2.187,-2.886,1.972
2.348,-2.742,2.232
1.975,-2.983,2.251
1.871,-2.988,2.015
1.787,-3.095,2.090
1.774,-3.014,2.202
1.663,-3.035,2.172
1.610,-3.044,2.190
1.598,-3.108,2.157
1.429,-3.304,1.925
1.637,-3.009,2.087
1.103,-3.667,1.710
1.281,-3.461,1.618
1.430,-3.484,1.701
1.248,-3.573,1.785
1.362,-3.363,1.696
1.245,-3.274,1.926
1.432,-3.300,2.176
1.650,-3.087,1.959
1.554,-3.229,2.033
1.508,-3.280,1.856
1.555,-3.266,1.924
1.594,-3.272,1.939
1.480,-3.222,2.093
1.425,-3.364,1.926
1.359,-3.220,2.036
0.836,-3.531,2.104
1.303,-3.528,1.164
1.673,-3.483,1.141
1.232,-3.629,1.075
1.342,-3.635,1.302
1.238,-3.727,1.027
1.587,-3.633,0.782
1.221,-3.531,1.292
1.034,-3.593,1.672
1.187,-3.563,1.802
1.398,-3.521,1.455
1.703,-3.412,1.398
1.537,-3.441,1.550
1.519,-3.543,1.357
1.569,-3.451,1.376
1.418,-3.558,1.329
1.772,-3.366,1.447
1.690,-3.450,1.288
1.698,-3.419,1.346
1.753,-3.416,1.313
1.767,-3.426,1.263
1.678,-3.430,1.420
1.655,-3.443,1.303
1.667,-3.430,1.382
1.656,-3.451,1.372
1.611,-3.474,1.388
1.608,-3.486,1.428
1.594,-3.485,1.327
1.634,-3.436,1.389
1.638,-3.456,1.433
